game,md,team,opponent,venue,gf,ga,gd,result,points,was_ahead,was_behind,points_from_losing,points_dropped_from_winning,win_from_behind,draw_from_behind,loss_from_ahead,draw_from_ahead
KCCA-VS-NEC,10,KCCA,NEC,home,2,1,1,W,3,True,False,0,0,False,False,False,False
KITARA-VS-MAROONS,10,MAROONS,KITARA,away,0,2,-2,L,0,False,True,0,0,False,False,False,False
KITARA-VS-MAROONS,10,KITARA,MAROONS,home,2,0,2,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-POLICE,10,POLICE,LUGAZI,away,1,1,0,D,1,False,True,1,0,False,True,False,False
LUGAZI-VS-POLICE,10,LUGAZI,POLICE,home,1,1,0,D,1,True,False,0,2,False,False,False,True
VILLA-VS-URA,10,URA,VILLA,away,0,3,-3,L,0,False,True,0,0,False,False,False,False
VILLA-VS-URA,10,VILLA,URA,home,3,0,3,W,3,True,False,0,0,False,False,False,False
VIPERS-VS-BUL,10,BUL,VIPERS,away,1,2,-1,L,0,False,True,0,0,False,False,False,False
VIPERS-VS-BUL,10,VIPERS,BUL,home,2,1,1,W,3,True,False,0,0,False,False,False,False
BUL-VS-POLICE,11,POLICE,BUL,away,3,1,2,W,3,True,False,0,0,False,False,False,False
BUL-VS-POLICE,11,BUL,POLICE,home,1,3,-2,L,0,False,True,0,0,False,False,False,False
ENTEBBE-VS-KITARA,11,KITARA,ENTEBBE,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
ENTEBBE-VS-KITARA,11,ENTEBBE,KITARA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
KCCA-VS-BUHIMBA,11,BUHIMBA,KCCA,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
KCCA-VS-BUHIMBA,11,KCCA,BUHIMBA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-VIPERS,11,VIPERS,LUGAZI,away,2,1,1,W,3,True,False,0,0,False,False,False,False
LUGAZI-VS-VIPERS,11,LUGAZI,VIPERS,home,1,2,-1,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-EXPRESS,11,EXPRESS,MAROONS,away,0,4,-4,L,0,False,True,0,0,False,False,False,False
MAROONS-VS-EXPRESS,11,MAROONS,EXPRESS,home,4,0,4,W,3,True,False,0,0,False,False,False,False
MBARARA-VS-URA,11,URA,MBARARA,away,0,1,-1,L,0,False,True,0,0,False,False,False,False
MBARARA-VS-URA,11,MBARARA,URA,home,1,0,1,W,3,True,False,0,0,False,False,False,False
