game,player,team,caution,min,added_time,double-caution,md
BUL-vs-KCCA,Herbert Achayi,KCCA,yellow,71,no,No,9
BUL-vs-KCCA,Martin Aprem,BUL,yellow,82,no,No,9
CALVARY-vs-VIPERS,John Rogers,CALVARY,yellow,66,no,No,10
CALVARY-vs-VIPERS,Joseph Youngman Marvin,VIPERS,yellow,72,no,No,10
LUGAZI-vs-POLICE,Deus Bukenya,POLICE,yellow,57,no,No,10
LUGAZI-vs-POLICE,Rogers Atube,LUGAZI,yellow,63,no,No,10
LUGAZI-vs-POLICE,Juma Mutebi,LUGAZI,yellow,87,no,No,10
ENTEBBE-vs-EXPRESS,ISA GLORY KISUULE,EXPRESS,yellow,85,no,No,10
VILLA-vs-URA,Hudu Mulikyi,URA,yellow,21,no,No,10
VILLA-vs-URA,Andrew Otim,Villa,yellow,78,no,No,10
KITARA-vs-MAROONS,Baguma Jasper Aheebwa,KITARA,yellow,58,no,No,10
KITARA-vs-MAROONS,Patrick Henry Kaddu,KITARA,yellow,66,no,No,10
KCCA-vs-NEC,Joseph Seremba,NEC,yellow,37,no,No,10
KCCA-vs-NEC,Ibrahim Musa,NEC,yellow,45,no,No,10
KCCA-vs-NEC,Dhata Joseph Stephen Lujang,NEC,yellow,53,no,No,10
KCCA-vs-NEC,Emmanuel Anyama,KCCA,yellow,55,no,No,10
KCCA-vs-NEC,Titus Ssematimba,NEC,yellow,67,no,No,10
KCCA-vs-NEC,Titus Ssematimba,NEC,red,69,no,No,10
KCCA-vs-NEC,Emmanuel Anyama,KCCA,red,72,no,No,10
CALVARY-vs-MBARARA,Zaidi Byekwaso,MBARARA,yellow,38,no,No,10
CALVARY-vs-MBARARA,Muhammed Kanyike,MBARARA,yellow,57,no,No,10
VIPERS-vs-BUL,Tah Barni Kelvin,BUL,yellow,6,no,No,10
VIPERS-vs-BUL,Abdul Karim Ndugwa,BUL,yellow,34,no,No,10
VIPERS-vs-BUL,Enock Ssebaggala,VIPERS,yellow,45(+1),yes,No,10
VIPERS-vs-BUL,Ashraf Mandela,VIPERS,yellow,82,no,No,10
BUL-vs-POLICE,Dennis Kalanzi,POLICE,yellow,45(+2),yes,No,11
BUL-vs-POLICE,Nicholas Mwere,BUL,yellow,74,no,No,11
BUL-vs-POLICE,Ahmad Olima,POLICE,yellow,85,no,No,11
UPDF-vs-NEC,Ibrahim Musa,NEC,yellow,45(+1),yes,No,11
KCCA-vs-BUHIMBA,Fillbert Obenchan,KCCA,yellow,61,no,No,11
KCCA-vs-BUHIMBA,Arafat Galiwango,BUHIMBA,yellow,65,no,No,11
KCCA-vs-BUHIMBA,Jamil Kiyimba,BUHIMBA,yellow,82,no,No,11
KCCA-vs-BUHIMBA,Swadik Moro,BUHIMBA,yellow,85,no,No,11
MBARARA-vs-URA,Norman Namanya,URA,yellow,20,no,No,11
MBARARA-vs-URA,Fred Amaku,URA,yellow,38,no,No,11
MBARARA-vs-URA,Henry Kitegenyi,MBARARA,yellow,76,no,No,11
MBARARA-vs-URA,Innocent Wafula Esimu,MBARARA,yellow,90,no,No,11
LUGAZI-vs-VIPERS,Yusuf Mafabi,LUGAZI,yellow,55,no,No,11
LUGAZI-vs-VIPERS,Frank Katongole,VIPERS,yellow,57,no,No,11
LUGAZI-vs-VIPERS,David Bagoole,LUGAZI,yellow,67,no,No,11
LUGAZI-vs-VIPERS,Moses Waiswa Ndhondhi,VIPERS,yellow,72,no,No,11
VILLA-vs-CALVARY,Geofrey Gagganga,Villa,yellow,61,no,No,11
VILLA-vs-CALVARY,Saidi Sukuru,CALVARY,yellow,71,no,No,11
ENTEBBE-vs-KITARA,Benjamin Nyakoojo,KITARA,yellow,40,no,No,11
